src,hrc_key,desired_metric,achieved_metric,distance_index,distance
Barbara_(test_image).jpg,A,1,1,None,0
Barbara_(test_image).jpg,B,0.49671729208,0.4938089847564697,22,0.002908307323530257
Barbara_(test_image).jpg,C,0.29540420891200003,0.29659929871559143,9,0.0011950898035913982
Barbara_(test_image).jpg,D,0.21487897564480002,0.22084763646125793,6,0.005968660816457916
Barbara_(test_image).jpg,E,0.1611954868,0.1614752560853958,4,0.00027976928539580337
Lenna_(test_image).png,A,1,1,None,0
Lenna_(test_image).png,B,0.49671729208,0.4945971369743347,21,0.0021201551056652668
Lenna_(test_image).png,C,0.29540420891200003,0.2958945631980896,9,0.0004903542860895671
Lenna_(test_image).png,D,0.21487897564480002,0.22388985753059387,6,0.009010881885793853
Lenna_(test_image).png,E,0.1611954868,0.1698766052722931,4,0.008681118472293081
People_001_h.jpg,A,1,1,None,0
People_001_h.jpg,B,0.49671729208,0.49317479133605957,26,0.0035425007439404133
People_001_h.jpg,C,0.29540420891200003,0.2898508310317993,10,0.005553377880200716
People_001_h.jpg,D,0.21487897564480002,0.2251504510641098,7,0.010271475419309783
People_001_h.jpg,E,0.1611954868,0.14722184836864471,4,0.013973638431355295
People_002_v.jpg,A,1,1,None,0
People_002_v.jpg,B,0.49671729208,0.49731868505477905,17,0.0006013929747790692
People_002_v.jpg,C,0.29540420891200003,0.2877318561077118,7,0.0076723528042882405
People_002_v.jpg,D,0.21487897564480002,0.22239094972610474,5,0.0075119740813047176
People_002_v.jpg,E,0.1611954868,0.14612768590450287,3,0.015067800895497141
People_003_h.jpg,A,1,1,None,0
People_003_h.jpg,B,0.49671729208,0.5022470951080322,22,0.005529803028032243
People_003_h.jpg,C,0.29540420891200003,0.3013838827610016,10,0.005979673849001554
People_003_h.jpg,D,0.21487897564480002,0.20328263938426971,6,0.011596336260530304
People_003_h.jpg,E,0.1611954868,0.15043824911117554,4,0.010757237688824473
People_004_h.jpg,A,1,1,None,0
People_004_h.jpg,B,0.49671729208,0.4914030134677887,21,0.005314278612211287
People_004_h.jpg,C,0.29540420891200003,0.2946177124977112,9,0.0007864964142888509
People_004_h.jpg,D,0.21487897564480002,0.22501394152641296,6,0.010134965881612945
People_004_h.jpg,E,0.1611954868,0.16734398901462555,4,0.00614850221462554
People_005_h.jpg,A,1,1,None,0
People_005_h.jpg,B,0.49671729208,0.4998530149459839,21,0.003135722865983903
People_005_h.jpg,C,0.29540420891200003,0.28722333908081055,9,0.008180869831189486
People_005_h.jpg,D,0.21487897564480002,0.2100791335105896,6,0.004799842134210419
People_005_h.jpg,E,0.1611954868,0.1479884535074234,4,0.013207033292576609
People_006_h.jpg,A,1,1,None,0
People_006_h.jpg,B,0.49671729208,0.49682310223579407,22,0.00010581015579408382
People_006_h.jpg,C,0.29540420891200003,0.2920827865600586,9,0.0033214223519414388
People_006_h.jpg,D,0.21487897564480002,0.21697525680065155,6,0.0020962811558515315
People_006_h.jpg,E,0.1611954868,0.1706300526857376,4,0.0094345658857376
People_007_h.jpg,A,1,1,None,0
People_007_h.jpg,B,0.49671729208,0.5013653635978699,21,0.0046480715178698895
People_007_h.jpg,C,0.29540420891200003,0.2837953269481659,8,0.011608881963834139
People_007_h.jpg,D,0.21487897564480002,0.20755457878112793,5,0.007324396863672089
People_007_h.jpg,E,0.1611954868,0.17177487909793854,4,0.010579392297938528
People_008_h.jpg,A,1,1,None,0
People_008_h.jpg,B,0.49671729208,0.4911441206932068,18,0.0055731713867931965
People_008_h.jpg,C,0.29540420891200003,0.3057163953781128,8,0.01031218646611276
People_008_h.jpg,D,0.21487897564480002,0.21954010426998138,5,0.0046611286251813655
People_008_h.jpg,E,0.1611954868,0.1449059247970581,3,0.016289562002941904
People_009_h.jpg,A,1,1,None,0
People_009_h.jpg,B,0.49671729208,0.4979808032512665,18,0.001263511171266496
People_009_h.jpg,C,0.29540420891200003,0.29448622465133667,7,0.0009179842606633626
People_009_h.jpg,D,0.21487897564480002,0.20658305287361145,4,0.008295922771188569
People_009_h.jpg,E,0.1611954868,0.16924989223480225,3,0.008054405434802236
People_010_h.jpg,A,1,1,None,0
People_010_h.jpg,B,0.49671729208,0.4975236654281616,21,0.0008063733481616375
People_010_h.jpg,C,0.29540420891200003,0.2941610813140869,9,0.0012431275979131184
People_010_h.jpg,D,0.21487897564480002,0.2239193320274353,6,0.009040356382635284
People_010_h.jpg,E,0.1611954868,0.16338276863098145,4,0.0021872818309814357
People_011_h.jpg,A,1,1,None,0
People_011_h.jpg,B,0.49671729208,0.49416670203208923,22,0.00255059004791075
People_011_h.jpg,C,0.29540420891200003,0.2914673984050751,9,0.003936810506924959
People_011_h.jpg,D,0.21487897564480002,0.2198055535554886,6,0.004926577910688568
People_011_h.jpg,E,0.1611954868,0.1603548675775528,4,0.0008406192224472142
People_012_h.jpg,A,1,1,None,0
People_012_h.jpg,B,0.49671729208,0.49458467960357666,19,0.0021326124764233234
People_012_h.jpg,C,0.29540420891200003,0.3005380928516388,9,0.0051338839396387614
People_012_h.jpg,D,0.21487897564480002,0.21638427674770355,6,0.0015053011029035335
People_012_h.jpg,E,0.1611954868,0.15065598487854004,4,0.01053950192145997
People_013_v.jpg,A,1,1,None,0
People_013_v.jpg,B,0.49671729208,0.4962886869907379,19,0.00042860508926206853
People_013_v.jpg,C,0.29540420891200003,0.29334884881973267,8,0.0020553600922673665
People_013_v.jpg,D,0.21487897564480002,0.20646154880523682,5,0.008417426839563202
People_013_v.jpg,E,0.1611954868,0.17064641416072845,4,0.009450927360728445
People_014_h.jpg,A,1,1,None,0
People_014_h.jpg,B,0.49671729208,0.4981692433357239,19,0.0014519512557238934
People_014_h.jpg,C,0.29540420891200003,0.30558523535728455,8,0.010181026445284513
People_014_h.jpg,D,0.21487897564480002,0.2231009155511856,5,0.00822193990638559
People_014_h.jpg,E,0.1611954868,0.15344707667827606,3,0.007748410121723948
People_015_h.jpg,A,1,1,None,0
People_015_h.jpg,B,0.49671729208,0.4982856214046478,20,0.0015683293246478436
People_015_h.jpg,C,0.29540420891200003,0.3030981421470642,9,0.0076939332350641765
People_015_h.jpg,D,0.21487897564480002,0.22111554443836212,6,0.006236568793562103
People_015_h.jpg,E,0.1611954868,0.1603551208972931,4,0.0008403659027069188
People_016_h.jpg,A,1,1,None,0
People_016_h.jpg,B,0.49671729208,0.5008237957954407,21,0.00410650371544069
People_016_h.jpg,C,0.29540420891200003,0.3020913004875183,9,0.006687091575518278
People_016_h.jpg,D,0.21487897564480002,0.20856204628944397,5,0.006316929355356049
People_016_h.jpg,E,0.1611954868,0.17635290324687958,4,0.015157416446879568
People_017_h.jpg,A,1,1,None,0
People_017_h.jpg,B,0.49671729208,0.5036497116088867,22,0.006932419528886735
People_017_h.jpg,C,0.29540420891200003,0.29776936769485474,10,0.002365158782854704
People_017_h.jpg,D,0.21487897564480002,0.2247622162103653,7,0.009883240565565277
People_017_h.jpg,E,0.1611954868,0.17126867175102234,5,0.01007318495102233
People_018_h.jpg,A,1,1,None,0
People_018_h.jpg,B,0.49671729208,0.5014597773551941,22,0.004742485275194108
People_018_h.jpg,C,0.29540420891200003,0.3061404824256897,10,0.010736273513689665
People_018_h.jpg,D,0.21487897564480002,0.20855116844177246,6,0.006327807203027558
People_018_h.jpg,E,0.1611954868,0.15411339700222015,4,0.007082089797779856
People_019_v.jpg,A,1,1,None,0
People_019_v.jpg,B,0.49671729208,0.49678727984428406,23,6.998776428407405e-05
People_019_v.jpg,C,0.29540420891200003,0.3025149703025818,10,0.007110761390581755
People_019_v.jpg,D,0.21487897564480002,0.2132323980331421,6,0.001646577611657929
People_019_v.jpg,E,0.1611954868,0.15922510623931885,4,0.001970380560681162
People_020_h.jpg,A,1,1,None,0
People_020_h.jpg,B,0.49671729208,0.49561959505081177,21,0.001097697029188216
People_020_h.jpg,C,0.29540420891200003,0.294705867767334,9,0.0006983411446660481
People_020_h.jpg,D,0.21487897564480002,0.21525701880455017,6,0.0003780431597501521
People_020_h.jpg,E,0.1611954868,0.15509159862995148,4,0.006103888170048533
People_021_h.jpg,A,1,1,None,0
People_021_h.jpg,B,0.49671729208,0.49341246485710144,21,0.003304827222898543
People_021_h.jpg,C,0.29540420891200003,0.2955623269081116,9,0.00015811799611153976
People_021_h.jpg,D,0.21487897564480002,0.22112323343753815,6,0.006244257792738128
People_021_h.jpg,E,0.1611954868,0.16597877442836761,4,0.004783287628367605
People_022_h.jpg,A,1,1,None,0
People_022_h.jpg,B,0.49671729208,0.49270811676979065,19,0.004009175310209334
People_022_h.jpg,C,0.29540420891200003,0.29022297263145447,8,0.005181236280545565
People_022_h.jpg,D,0.21487897564480002,0.20247839391231537,5,0.01240058173248465
People_022_h.jpg,E,0.1611954868,0.16636408865451813,4,0.005168601854518118
People_023_h.jpg,A,1,1,None,0
People_023_h.jpg,B,0.49671729208,0.4952949285507202,21,0.0014223635292797687
People_023_h.jpg,C,0.29540420891200003,0.29578760266304016,9,0.00038339375104012863
People_023_h.jpg,D,0.21487897564480002,0.22070714831352234,6,0.00582817266872232
People_023_h.jpg,E,0.1611954868,0.16343969106674194,4,0.0022442042667419337
People_024_v.jpg,A,1,1,None,0
People_024_v.jpg,B,0.49671729208,0.4946955144405365,20,0.0020217776394634845
People_024_v.jpg,C,0.29540420891200003,0.30626899003982544,9,0.010864781127825407
People_024_v.jpg,D,0.21487897564480002,0.228241428732872,6,0.01336245308807199
People_024_v.jpg,E,0.1611954868,0.1671397089958191,4,0.005944222195819082
People_025_v.jpg,A,1,1,None,0
People_025_v.jpg,B,0.49671729208,0.5020352602005005,22,0.005317968120500505
People_025_v.jpg,C,0.29540420891200003,0.29994720220565796,10,0.0045429932936579265
People_025_v.jpg,D,0.21487897564480002,0.20430871844291687,6,0.010570257201883149
People_025_v.jpg,E,0.1611954868,0.14735810458660126,4,0.013837382213398752
People_026_h.jpg,A,1,1,None,0
People_026_h.jpg,B,0.49671729208,0.49195754528045654,20,0.004759746799543441
People_026_h.jpg,C,0.29540420891200003,0.2833620607852936,8,0.012042148126706453
People_026_h.jpg,D,0.21487897564480002,0.19998416304588318,5,0.01489481259891684
People_026_h.jpg,E,0.1611954868,0.16638466715812683,4,0.0051891803581268214
People_027_h.jpg,A,1,1,None,0
People_027_h.jpg,B,0.49671729208,0.49206215143203735,18,0.00465514064796263
People_027_h.jpg,C,0.29540420891200003,0.28600645065307617,7,0.00939775825892386
People_027_h.jpg,D,0.21487897564480002,0.22567349672317505,5,0.01079452107837503
People_027_h.jpg,E,0.1611954868,0.1485115885734558,3,0.012683898226544199
People_028_h.jpg,A,1,1,None,0
People_028_h.jpg,B,0.49671729208,0.49299341440200806,23,0.003723877677991927
People_028_h.jpg,C,0.29540420891200003,0.29746025800704956,10,0.002056049095049528
People_028_h.jpg,D,0.21487897564480002,0.20946241915225983,6,0.005416556492540192
People_028_h.jpg,E,0.1611954868,0.15457475185394287,4,0.0066207349460571385
People_029_h.jpg,A,1,1,None,0
People_029_h.jpg,B,0.49671729208,0.4990434944629669,20,0.0023262023829669354
People_029_h.jpg,C,0.29540420891200003,0.30125877261161804,9,0.0058545636996180095
People_029_h.jpg,D,0.21487897564480002,0.22238631546497345,6,0.007507339820173431
People_029_h.jpg,E,0.1611954868,0.15780211985111237,4,0.003393366948887644
People_030_h.jpg,A,1,1,None,0
People_030_h.jpg,B,0.49671729208,0.5013144016265869,24,0.0045971095465869305
People_030_h.jpg,C,0.29540420891200003,0.28994622826576233,10,0.005457980646237703
People_030_h.jpg,D,0.21487897564480002,0.2230103760957718,7,0.00813140045097177
